dbGap Variable	dbGap Table	dbGap Description	UChicago Variable	UChicago Table	Type	Enumerations
caumput1	pht001116.v10, pht001111.v4	Family history amputation (not due to injury): children	caumput1	family_history	boolean	
fhha1c	pht001116.v10, pht001111.v4	Family history of heart attack (parents/siblings/children)	fhha1c	family_history	boolean	
mhxadm1	pht001116.v10, pht001111.v4	Questionnaire administrator - medical history	mhxadm1	medical_history	enum	SELF-ADMIN|INTERVIEWER-ADMIN
asacat1c	pht001116.v10, pht001111.v4	Current aspirin use (taking aspirin at least 3 days per week at baseline)	asacat1c	medication	boolean	
htnmed1c	pht001116.v10, pht001111.v4	Hypertension medication	htnmed1c	medication	boolean	
totmed1c	pht001116.v10, pht001111.v4	Total number of medications in exam1	totmed1c	medication	number	
a2a1c	pht001116.v10, pht001111.v4	Angiotensin type 2 antagonists	a2a1c	medication	boolean	
a2ad1c	pht001116.v10, pht001111.v4	Combinations of angiotensin ii antagonists plus diuretics	a2ad1c	medication	boolean	
ace1c	pht001116.v10, pht001111.v4	Ace inhibitors without diuretics	ace1c	medication	boolean	
aced1c	pht001116.v10, pht001111.v4	Ace inhibitors with diuretics	aced1c	medication	boolean	
adpi1c	pht001116.v10, pht001111.v4	Inhibitors of adp-induced platelet aggregation	adpi1c	medication	boolean	
agdi1c	pht001116.v10, pht001111.v4	Alpha-glucosidase inhibitors	agdi1c	medication	boolean	
alpha1c	pht001116.v10, pht001111.v4	Alpha-blockers without diuretics	alpha1c	medication	boolean	
alphad1c	pht001116.v10, pht001111.v4	Alpha-blockers with diuretics	alphad1c	medication	boolean	
alzh1c	pht001116.v10, pht001111.v4	Acetylcholine esterase inhibitors for alzh'	alzh1c	medication	boolean	
amlod1c	pht001116.v10, pht001111.v4	Amlodipine	amlod1c	medication	boolean	
anar1a1c	pht001116.v10, pht001111.v4	Anti-arrhythmics, class 1a	anar1a1c	medication	boolean	
anar1b1c	pht001116.v10, pht001111.v4	Anti-arrhythmics, class 1b	anar1b1c	medication	boolean	
anar1c1c	pht001116.v10, pht001111.v4	Anti-arrhythmics, class 1c	anar1c1c	medication	boolean	
anar31c	pht001116.v10, pht001111.v4	Anti-arrhythmics, class 3	anar31c	medication	boolean	
apsy1c	pht001116.v10, pht001111.v4	Anti-psychotic medications	apsy1c	medication	boolean	
asa1c	pht001116.v10, pht001111.v4	Aspirin from 280804 (anti-inflam agents)	asa1c	medication	boolean	
basq1c	pht001116.v10, pht001111.v4	Bile-acid sequestrants	basq1c	medication	boolean	
benzod1c	pht001116.v10, pht001111.v4	Benzodiazepines	benzod1c	medication	boolean	
beta1c	pht001116.v10, pht001111.v4	Beta-blockers without diuretics	beta1c	medication	boolean	
betad1c	pht001116.v10, pht001111.v4	Beta-blockers with diuretics	betad1c	medication	boolean	
bgnd1c	pht001116.v10, pht001111.v4	Biguanides	bgnd1c	medication	boolean	
ccb1c	pht001116.v10, pht001111.v4	Any calcium-channel blocker = ccir or ccbsr or ccbt	ccb1c	medication	boolean	
ccbir1c	pht001116.v10, pht001111.v4	Immediate-release ccbs = nifir or dihir or verir or dltir	ccbir1c	medication	boolean	
ccbsr1c	pht001116.v10, pht001111.v4	Slow-release ccbs = nifsr or dihsr or versr or dltsr or amlod	ccbsr1c	medication	boolean	
ccbt1c	pht001116.v10, pht001111.v4	T-type calcium-channel blocker	ccbt1c	medication	boolean	
cox21c	pht001116.v10, pht001111.v4	Cox-2 inhibitors (nsaid agents); separate from nsaid variable	cox21c	medication	boolean	
dig1c	pht001116.v10, pht001111.v4	Digitalis preparations	dig1c	medication	boolean	
dihir1c	pht001116.v10, pht001111.v4	Immediate-release dihydropyridines other than nifedipine	dihir1c	medication	boolean	
dihsr1c	pht001116.v10, pht001111.v4	Slow-release dihydropyridines other than nifedipine or amlopidine	dihsr1c	medication	boolean	
dltir1c	pht001116.v10, pht001111.v4	Immediate-release diltiazem	dltir1c	medication	boolean	
dltsr1c	pht001116.v10, pht001111.v4	Slow-release diltiazem	dltsr1c	medication	boolean	
edd1c	pht001116.v10, pht001111.v4	Erectile dysfunction drugs	edd1c	medication	boolean	
estrgn1c	pht001116.v10, pht001111.v4	Estrogens, excluding vaginal creams	estrgn1c	medication	boolean	
fibr1c	pht001116.v10, pht001111.v4	Fibrates	fibr1c	medication	boolean	
h2b1c	pht001116.v10, pht001111.v4	H-2 blockers	h2b1c	medication	boolean	
hctz1c	pht001116.v10, pht001111.v4	Thiazide diuretics without k-sparing agents	hctz1c	medication	boolean	
hctzk1c	pht001116.v10, pht001111.v4	Thiazide diuretics with k-sparing agents	hctzk1c	medication	boolean	
hprns1c	pht001116.v10, pht001111.v4	Heparins	hprns1c	medication	boolean	
insln1c	pht001116.v10, pht001111.v4	Insulins	insln1c	medication	boolean	
iprtr1c	pht001116.v10, pht001111.v4	Anticholinergics + combination with beta2-agonist (121200)	iprtr1c	medication	boolean	
istrd1c	pht001116.v10, pht001111.v4	Inhaled steroids for asthma	istrd1c	medication	boolean	
kblkr1c	pht001116.v10, pht001111.v4	K-channel blockers to enhance insulin secretion for diabetics	kblkr1c	medication	boolean	
kcl1c	pht001116.v10, pht001111.v4	Potassium supplements	kcl1c	medication	boolean	
kspr1c	pht001116.v10, pht001111.v4	Potassium-sparing agents alone	kspr1c	medication	boolean	
loop1c	pht001116.v10, pht001111.v4	Loop diuretics	loop1c	medication	boolean	
maoi1c	pht001116.v10, pht001111.v4	Mao inhibitors	maoi1c	medication	boolean	
mlpd1c	pht001116.v10, pht001111.v4	Miscellaneous lipid-lowering drugs	mlpd1c	medication	boolean	
niac1c	pht001116.v10, pht001111.v4	Niacin and nicotinic acid	niac1c	medication	boolean	
nifir1c	pht001116.v10, pht001111.v4	Immediate-release nifedipine	nifir1c	medication	boolean	
nifsr1c	pht001116.v10, pht001111.v4	Slow-release nifedipine	nifsr1c	medication	boolean	
nsaid1c	pht001116.v10, pht001111.v4	Non-steroidal anti-inflammatory agents, excluding aspirin	nsaid1c	medication	boolean	
ntg1c	pht001116.v10, pht001111.v4	Nitrates	ntg1c	medication	boolean	
oaia1c	pht001116.v10, pht001111.v4	Oral anti-inflammatory asthma drugs leukotriene receptor antagonists and inhibitors of lipo-oxygenase	oaia1c	medication	boolean	
ohga1c	pht001116.v10, pht001111.v4	Oral hypoglycemic agents-now constructed from:	ohga1c	medication	boolean	
ostrd1c	pht001116.v10, pht001111.v4	Oral steroids	ostrd1c	medication	boolean	
otch2b1c	pht001116.v10, pht001111.v4	Over-the-counter h-2 blockers	otch2b1c	medication	boolean	
pdei1c	pht001116.v10, pht001111.v4	Phosphodiesterase inhibitors	pdei1c	medication	boolean	
ppi1c	pht001116.v10, pht001111.v4	Proton pump inhibitors	ppi1c	medication	boolean	
prgstn1c	pht001116.v10, pht001111.v4	Progestins	prgstn1c	medication	boolean	
prknsn1c	pht001116.v10, pht001111.v4	Drugs used to treat parkinson's	prknsn1c	medication	boolean	
prmrn1c	pht001116.v10, pht001111.v4	Premarin (conjugated estrogens)	prmrn1c	medication	boolean	
prob1c	pht001116.v10, pht001111.v4	Probucol	prob1c	medication	boolean	
pvdl1c	pht001116.v10, pht001111.v4	Peripheral vasodilators, exclude dipyridamole	pvdl1c	medication	boolean	
slf11c	pht001116.v10, pht001111.v4	First generation sulfonylureas	slf11c	medication	boolean	
slf21c	pht001116.v10, pht001111.v4	Second generation surlfonylureas	slf21c	medication	boolean	
sttn1c	pht001116.v10, pht001111.v4	Hmg coa reductase inhibitors (statins)	sttn1c	medication	boolean	
sympth1c	pht001116.v10, pht001111.v4	Sympathomimetics, oral and inhaled	sympth1c	medication	boolean	
tca1c	pht001116.v10, pht001111.v4	Tricyclic anti-depressants	tca1c	medication	boolean	
tcap1c	pht001116.v10, pht001111.v4	Tricyclic anti-depressants plus anti-psychotics combinations	tcap1c	medication	boolean	
thry1c	pht001116.v10, pht001111.v4	Thyroid agents	thry1c	medication	boolean	
thzd1c	pht001116.v10, pht001111.v4	Thiazolidinediones	thzd1c	medication	boolean	
urcos1c	pht001116.v10, pht001111.v4	Uricosurics	urcos1c	medication	boolean	
uazqtd1c	pht001116.v10, pht001111.v4	Uaz definite ecg qt interval-altering medication	uazqtd1c	medication	boolean	
uazqtp1c	pht001116.v10, pht001111.v4	Uaz possible ecg qt interval-altering medication	uazqtp1c	medication	boolean	
vaso1c	pht001116.v10, pht001111.v4	Vasodilators, a mixed group	vaso1c	medication	boolean	
vasod1c	pht001116.v10, pht001111.v4	Vasodilators with diuretics, a mixed group	vasod1c	medication	boolean	
verir1c	pht001116.v10, pht001111.v4	Immediate-release verapamil	verir1c	medication	boolean	
versr1c	pht001116.v10, pht001111.v4	Slow-release verapamil	versr1c	medication	boolean	
warf1c	pht001116.v10, pht001111.v4	Oral anticoagulants including warfarin, coumadin, and anisindione	warf1c	medication	boolean	
wtls1c	pht001116.v10, pht001111.v4	Weight loss drugs	wtls1c	medication	boolean	
xoi1c	pht001116.v10, pht001111.v4	Xanthine oxidase inhibitors	xoi1c	medication	boolean	
diur1c	pht001116.v10, pht001111.v4	Any diuretic	diur1c	medication	boolean	
lipid1c	pht001116.v10, pht001111.v4	Any lipid-lowering medication	lipid1c	medication	boolean	
aad1c	pht001116.v10	Average aortic diameter (mm)	aad1c	cardiac_mri	number	
crdout1c	pht001116.v10	Cardiac output (l/min)	crdout1c	cardiac_mri	number	
odapa1	pht001116.v10	Apical slice: segment a, end-diastole (mm)	odapa1	cardiac_mri	number	
odapb1	pht001116.v10	Apical slice: segment b, end-diastole (mm)	odapb1	cardiac_mri	number	
odapc1	pht001116.v10	Apical slice: segment c, end-diastole (mm)	odapc1	cardiac_mri	number	
odapd1	pht001116.v10	Apical slice: segment d, end-diastole (mm)	odapd1	cardiac_mri	number	
odape1	pht001116.v10	Apical slice: segment e, end-diastole (mm)	odape1	cardiac_mri	number	
odapf1	pht001116.v10	Apical slice: segment f, end-diastole (mm)	odapf1	cardiac_mri	number	
odmda1	pht001116.v10	Mid slice: segment a (inferior septum), end-diastole (mm)	odmda1	cardiac_mri	number	
odmdb1	pht001116.v10	Mid slice: segment b (superior septum), end-diastole (mm)	odmdb1	cardiac_mri	number	
odmdc1	pht001116.v10	Mid slice: segment c (anterior wall), end-diastole (mm)	odmdc1	cardiac_mri	number	
odmdd1	pht001116.v10	Mid slice: segment d (superior lateral wall), end-diastole (mm)	odmdd1	cardiac_mri	number	
odmde1	pht001116.v10	Mid slice: segment e (inferior lateral wall), end-diastole (mm)	odmde1	cardiac_mri	number	
odmdf1	pht001116.v10	Mid slice: segment f (inferior wall), end-diastole (mm)	odmdf1	cardiac_mri	number	
odbsa1	pht001116.v10	Basal slice: segment a (inferior septum), end-diastole (mm)	odbsa1	cardiac_mri	number	
odbsb1	pht001116.v10	Basal slice: segment b (superior septum), end-diastole (mm)	odbsb1	cardiac_mri	number	
odbsc1	pht001116.v10	Basal slice: segment c (anterior wall), end-diastole (mm)	odbsc1	cardiac_mri	number	
odbsd1	pht001116.v10	Basal slice: segment d (superior lateral wall), end-diastole (mm)	odbsd1	cardiac_mri	number	
odbse1	pht001116.v10	Basal slice: segment e (inferior lateral wall), end-diastole (mm)	odbse1	cardiac_mri	number	
odbsf1	pht001116.v10	Basal slice: segment f (inferior wall), end-diastole (mm)	odbsf1	cardiac_mri	number	
osapa1	pht001116.v10	Apical slice: segment a (inferior septum), end-systole (mm)	osapa1	cardiac_mri	number	
osapb1	pht001116.v10	Apical slice: segment b (superior septum), end-systole (mm)	osapb1	cardiac_mri	number	
osapc1	pht001116.v10	Apical slice: segment c (anterior wall), end-systole (mm)	osapc1	cardiac_mri	number	
osapd1	pht001116.v10	Apical slice: segment d (superior lateral wall), end-systole (mm)	osapd1	cardiac_mri	number	
osape1	pht001116.v10	Apical slice: segment e (inferior lateral wall), end-systole (mm)	osape1	cardiac_mri	number	
osapf1	pht001116.v10	Apical slice: segment f (inferior wall), end-systole (mm)	osapf1	cardiac_mri	number	
osmda1	pht001116.v10	Mid slice: segment a (inferior septum), end-systole (mm)	osmda1	cardiac_mri	number	
osmdb1	pht001116.v10	Mid slice: segment b (superior septum), end-systole (mm)	osmdb1	cardiac_mri	number	
osmdc1	pht001116.v10	Mid slice: segment c (anterior wall), end-systole (mm)	osmdc1	cardiac_mri	number	
osmdd1	pht001116.v10	Mid slice: segment d (superior lateral wall), end-systole (mm)	osmdd1	cardiac_mri	number	
osmde1	pht001116.v10	Mid slice: segment e (inferior lateral wall), end-systole (mm)	osmde1	cardiac_mri	number	
osmdf1	pht001116.v10	Mid slice: segment f (inferior wall), end-systole (mm)	osmdf1	cardiac_mri	number	
osbsa1	pht001116.v10	Basal slice: segment a (inferior septum), end-systole (mm)	osbsa1	cardiac_mri	number	
osbsb1	pht001116.v10	Basal slice: segment b (superior septum), end-systole (mm)	osbsb1	cardiac_mri	number	
osbsc1	pht001116.v10	Basal slice: segment c (anterior wall), end-systole (mm)	osbsc1	cardiac_mri	number	
osbsd1	pht001116.v10	Basal slice: segment d (superior lateral wall), end-systole (mm)	osbsd1	cardiac_mri	number	
osbse1	pht001116.v10	Basal slice: segment e (inferior lateral wall), end-systole (mm)	osbse1	cardiac_mri	number	
osbsf1	pht001116.v10	Basal slice: segment f (inferior wall), end-systole (mm)	osbsf1	cardiac_mri	number	
omassv1	pht001116.v10	Version of mass used	omassv1	cardiac_mri	string	
r1wm1	pht001116.v10	Wall motion, region 1	r1wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r2wm1	pht001116.v10	Wall motion, region 2	r2wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r3wm1	pht001116.v10	Wall motion, region 3	r3wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r4wm1	pht001116.v10	Wall motion, region 4	r4wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r5wm1	pht001116.v10	Wall motion, region 5	r5wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r6wm1	pht001116.v10	Wall motion, region 6	r6wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r7wm1	pht001116.v10	Wall motion, region 7	r7wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r8wm1	pht001116.v10	Wall motion, region 8	r8wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r9wm1	pht001116.v10	Wall motion, region 9	r9wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r10wm1	pht001116.v10	Wall motion, region 10	r10wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r11wm1	pht001116.v10	Wall motion, region 11	r11wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r12wm1	pht001116.v10	Wall motion, region 12	r12wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r13wm1	pht001116.v10	Wall motion, region 13	r13wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r14wm1	pht001116.v10	Wall motion, region 14	r14wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r15wm1	pht001116.v10	Wall motion, region 15	r15wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
r16wm1	pht001116.v10	Wall motion, region 16	r16wm1	cardiac_mri	enum	UNINTERPRETABLE|NORMAL|HYPOKINESIS|AKINESIS|KYSKINESIS|ANEURYSM
pheval1	pht001116.v10	Was the the study evaluable?	pheval1	cardiac_mri	boolean	
globscr1	pht001116.v10	Global score	globscr1	cardiac_mri	enum	NORMAL|MINIMAL DYSFUNCTION|MODERATE DYSFUNCTION|SEVERE DYSFUNCTION
lvh1	pht001116.v10	Lvh alert	lvh1	cardiac_mri	enum	NO REFERRAL|ABNORMAL REFERRAL|URGENT REFERRAL
aneursm1	pht001116.v10	Aneurysm alert	aneursm1	cardiac_mri	enum	NO REFERRAL|ABNORMAL REFERRAL|URGENT REFERRAL
perieff1	pht001116.v10	Pericard effusion alert	perieff1	cardiac_mri	enum	NO REFERRAL|ABNORMAL REFERRAL|URGENT REFERRAL
massnd1	pht001116.v10	Mediastinal mass node alert	massnd1	cardiac_mri	enum	NO REFERRAL|ABNORMAL REFERRAL|URGENT REFERRAL
lungmss1	pht001116.v10	Lung mass alert	lungmss1	cardiac_mri	enum	NO REFERRAL|ABNORMAL REFERRAL|URGENT REFERRAL
bnsftts1	pht001116.v10	Bone soft tissue alert	bnsftts1	cardiac_mri	enum	NO REFERRAL|ABNORMAL REFERRAL|URGENT REFERRAL
othalrt1	pht001116.v10	Other alert	othalrt1	cardiac_mri	enum	NO REFERRAL|ABNORMAL REFERRAL|URGENT REFERRAL
datrcvd1	pht001116.v10	Rc received the study?	datrcvd1	cardiac_mri	boolean	
refstat1	pht001116.v10	Overall mri alert status	refstat1	cardiac_mri	string	
oavflw1	pht001116.v10	Flow parameter: average flow velocity (cm/sec)	oavflw1	cardiac_mri	number	
osv1	pht001116.v10	Flow parameter: stroke volume	osv1	cardiac_mri	number	
ovpm1	pht001116.v10	Flow parameter: volume per minute	ovpm1	cardiac_mri	number	
rchrtrt1	pht001116.v10	Heart rate (bpm)	rchrtrt1	cardiac_mri	number	
lvedd1c	pht001116.v10	Lv end-diastolic diameter (mm), computed (devereux, am j cardiol 1986)	lvedd1c	cardiac_mri	number	
nviolen1	pht001116.v10, pht001111.v4	Violence problem in neighborhood	nviolen1	socio_demo_questionnaire	enum	VERY SERIOUS PROBLEM|SOMEWHAT SERIOUS PROBLEM|MINOR PROBLEM|NOT REALLY A PROBLEM
nsdwlk1	pht001116.v10, pht001111.v4	Poor sidewalks in neighborhood	nsdwlk1	socio_demo_questionnaire	enum	VERY SERIOUS PROBLEM|SOMEWHAT SERIOUS PROBLEM|MINOR PROBLEM|NOT REALLY A PROBLEM
ntrash1	pht001116.v10, pht001111.v4	Trash and litter problem in neighborhood	ntrash1	socio_demo_questionnaire	enum	VERY SERIOUS PROBLEM|SOMEWHAT SERIOUS PROBLEM|MINOR PROBLEM|NOT REALLY A PROBLEM
nlparks1	pht001116.v10, pht001111.v4	Lack of parks/playgrounds in neighborhood	nlparks1	socio_demo_questionnaire	enum	VERY SERIOUS PROBLEM|SOMEWHAT SERIOUS PROBLEM|MINOR PROBLEM|NOT REALLY A PROBLEM
nlfshop1	pht001116.v10, pht001111.v4	Lack of adequate food shopping in neighborhood	nlfshop1	socio_demo_questionnaire	enum	VERY SERIOUS PROBLEM|SOMEWHAT SERIOUS PROBLEM|MINOR PROBLEM|NOT REALLY A PROBLEM
ntraf1	pht001116.v10, pht001111.v4	Heavy traffic or speeding cars in neighborhood	ntraf1	socio_demo_questionnaire	enum	VERY SERIOUS PROBLEM|SOMEWHAT SERIOUS PROBLEM|MINOR PROBLEM|NOT REALLY A PROBLEM
nnoise1	pht001116.v10, pht001111.v4	Excessive noise in neighborhood	nnoise1	socio_demo_questionnaire	enum	VERY SERIOUS PROBLEM|SOMEWHAT SERIOUS PROBLEM|MINOR PROBLEM|NOT REALLY A PROBLEM
nsafe1	pht001116.v10, pht001111.v4	How safe is neighborhood from crime	nsafe1	socio_demo_questionnaire	enum	VERY SAFE|BETWEEN VERY SAFE AND SAFE|SAFE|BETWEEN SAFE AND NOT AT ALL SAFE|NOT AT ALL SAFE
nvalues1	pht001116.v10, pht001111.v4	People in neighborhood do not share the same values	nvalues1	socio_demo_questionnaire	enum	STRONGLY AGREE|AGREE|NEITHER AGREE NOR DISAGREE|DISAGREE|STRONGLY DISAGREE
ntrust1	pht001116.v10, pht001111.v4	People in neighborhood can be trusted	ntrust1	socio_demo_questionnaire	enum	STRONGLY AGREE|AGREE|NEITHER AGREE NOR DISAGREE|DISAGREE|STRONGLY DISAGREE
ndgalng1	pht001116.v10, pht001111.v4	People in neighborhood don't get along	ndgalng1	socio_demo_questionnaire	enum	STRONGLY AGREE|AGREE|NEITHER AGREE NOR DISAGREE|DISAGREE|STRONGLY DISAGREE
nhelp1	pht001116.v10, pht001111.v4	People willing to help their neighbors	nhelp1	socio_demo_questionnaire	enum	STRONGLY AGREE|AGREE|NEITHER AGREE NOR DISAGREE|DISAGREE|STRONGLY DISAGREE
nclose1	pht001116.v10, pht001111.v4	Close-knit neighborhood	nclose1	socio_demo_questionnaire	enum	STRONGLY AGREE|AGREE|NEITHER AGREE NOR DISAGREE|DISAGREE|STRONGLY DISAGREE
nhdmo1	pht001116.v10, pht001111.v4	Number of months lived in neighborhood	nhdmo1	socio_demo_questionnaire	number	
nhdyrs1	pht001116.v10, pht001111.v4	Number of years lived in neighborhood	nhdyrs1	socio_demo_questionnaire	number	
nhdblks1	pht001116.v10, pht001111.v4	Number of blocks in neighborhood	nhdblks1	socio_demo_questionnaire	number	
ncohes1c	pht001116.v10, pht001111.v4	Neighborhood social cohesion score	ncohes1c	socio_demo_questionnaire	number	
nprob1c	pht001116.v10, pht001111.v4	Neighborhood problems score	nprob1c	socio_demo_questionnaire	number	
nhdtim1c	pht001116.v10, pht001111.v4	How long lived in neighborhood (yrs)	nhdtim1c	socio_demo_questionnaire	number	
nhdadm1	pht001116.v10, pht001111.v4	Questionnaire administrator - neighborhood	nhdadm1	socio_demo_questionnaire	enum	SELF-ADMIN|INTERVIEWER-ADMIN
yrsus1	pht001116.v10, pht001111.v4	# years lived in u.s.a	yrsus1	socio_demo_questionnaire	number	
RgnBth1c	pht001116.v10, pht001111.v4	Region of birth in us - self	RgnBth1c	socio_demo_questionnaire	enum	WEST|MIDWEST|SOUTH|NORTHEAST
hctryo1c	pht001116.v10, pht001111.v4	Country or region of hispanic origin	hctryo1c	socio_demo_questionnaire	string	
cig1c	pht001116.v10, pht001111.v4	Cigarette smoking status	cig1c	socio_demo_questionnaire	enum	NEVER|FORMER|CURRENT
langhm1	pht001116.v10, pht001111.v4	Language spoken in home	langhm1	socio_demo_questionnaire	enum	ENGLISH|SPANISH|CANTONESE|MANDARIN|OTHER
lngeng1	pht001116.v10, pht001111.v4	English spoken in home	lngeng1	socio_demo_questionnaire	boolean	
lngsp1	pht001116.v10, pht001111.v4	Spanish spoken in home	lngsp1	socio_demo_questionnaire	boolean	
lngcan1	pht001116.v10, pht001111.v4	Cantonese spoken in home	lngcan1	socio_demo_questionnaire	boolean	
lngman1	pht001116.v10, pht001111.v4	Mandarin spoken in home	lngman1	socio_demo_questionnaire	boolean	
lngoth1	pht001116.v10, pht001111.v4	Other language spoken in home	lngoth1	socio_demo_questionnaire	boolean	
otlngtx1	pht001116.v10, pht001111.v4	Specify other language spoken in home	otlngtx1	socio_demo_questionnaire	string	
marital1	pht001116.v10, pht001111.v4	Marital status	marital1	socio_demo_questionnaire	enum	MARRIED/LIVING AS MARRIED|WIDOWED|DIVORCED|SEPARATED|NEVER MARRIED|PREFER NOT TO ANSWER
educ1	pht001116.v10, pht001111.v4	Education: highest level completed	educ1	socio_demo_questionnaire	enum	NO SCHOOLING|GRADES 1-8|GRADES 9-11|COMPLETED HIGH SCHOOL/GED|SOME COLLEGE BUT NO DEGREE|TECHNICAL SCHOOL CERTIFICATE|ASSOCIATE DEGREE|BACHELOR'S DEGREE|GRADUATE OR PROFESSIONAL SCHOOL
othssn1	pht001116.v10, pht001111.v4	Get medicare benefits using ssn other than own	othssn1	socio_demo_questionnaire	boolean	
curjob1	pht001116.v10, pht001111.v4	Current occupation	curjob1	socio_demo_questionnaire	enum	HOMEMAKER|EMPLOYED FULL TIME|EMPLOYED PART TIME|EMPLOYED ON-LEAVE (HEALTH)|EMPLOYED ON-LEAVE (NON-HEALTH)|UNEMPLOYED < 6 MONTHS|UNEMPLOYED > 6 MONTHS|RETIRED NOT WORKING|RETIRED WORKING|RETIRED VOLUNTEERING
homemkr1	pht001116.v10, pht001111.v4	Current homemaker: previously work outside the home	homemkr1	socio_demo_questionnaire	boolean	
income1	pht001116.v10, pht001111.v4	Total gross family income, past 12 months	income1	socio_demo_questionnaire	enum	< $5,000|$5,000 - 7,999|$8,000 - 11,999|$12,000 - 15,999|$16,000 - 19,999|$20,000 - 24,999|$25,000 - 29,999|$30,000 - 34,999|$35,000 - 39,999|$40,000 - 49,999|$50,000 - 74,999|$75,000 - 99,999|$100,000 +
nhhldc1	pht001116.v10, pht001111.v4	# children supported by family income	nhhldc1	socio_demo_questionnaire	number	
numhhld1	pht001116.v10, pht001111.v4	# people supported by family income	numhhld1	socio_demo_questionnaire	number	
nhhlde1	pht001116.v10, pht001111.v4	# adults age > 65 supported by family income	nhhlde1	socio_demo_questionnaire	number	
hometyp1	pht001116.v10, pht001111.v4	Residence - own or rent	hometyp1	socio_demo_questionnaire	enum	RENT|PAY A MORTGAGE|OWN FREE AND CLEAR|OTHER
medcare1	pht001116.v10, pht001111.v4	Where do you go for medical care	medcare1	socio_demo_questionnaire	enum	DOCTOR'S OFFICE/CLINIC|HOSPITAL OR EMERGENCY ROOM|OTHER
hiprv1	pht001116.v10, pht001111.v4	Hmo, private insurance	hiprv1	socio_demo_questionnaire	boolean	
himdcr1	pht001116.v10, pht001111.v4	Medicare	himdcr1	socio_demo_questionnaire	boolean	
himdcd1	pht001116.v10, pht001111.v4	Medicaid	himdcd1	socio_demo_questionnaire	boolean	
himil1	pht001116.v10, pht001111.v4	Military or va sponsored medical care	himil1	socio_demo_questionnaire	boolean	
hinone1	pht001116.v10, pht001111.v4	No health insurance	hinone1	socio_demo_questionnaire	boolean	
hioth1	pht001116.v10, pht001111.v4	Other type of health insurance	hioth1	exposure	boolean	
evsmk1	pht001116.v10, pht001111.v4	Smoked at least 100 cigarettes in lifetime	evsmk1	exposure	boolean	
agesmk1	pht001116.v10, pht001111.v4	Cigarettes: age started smoking	agesmk1	exposure	number	
cursmk1	pht001116.v10, pht001111.v4	Cigarettes: smoked in last 30 days	cursmk1	exposure	boolean	
agequit1	pht001116.v10, pht001111.v4	Cigarettes: age quit smoking	agequit1	exposure	number	
cigsday1	pht001116.v10, pht001111.v4	Cigarettes: average # smoked per day	cigsday1	exposure	number	
othtob1	pht001116.v10, pht001111.v4	Ever used other tobacco products	othtob1	exposure	boolean	
cigar1	pht001116.v10, pht001111.v4	Smoked more than 20 cigars in lifetime	cigar1	exposure	boolean	
cgrage1	pht001116.v10, pht001111.v4	Cigars: age started smoking	cgrage1	exposure	number	
cgrcur1	pht001116.v10, pht001111.v4	Cigars: smoked in last 30 days	cgrcur1	exposure	boolean	
cgrageq1	pht001116.v10, pht001111.v4	Cigars: age quit smoking	cgrageq1	exposure	number	
cgrday1	pht001116.v10, pht001111.v4	Cigars: average # smoked per day	cgrday1	exposure	number	
pipe1	pht001116.v10, pht001111.v4	Smoked at least 20 pipefuls of tobacco in lifetime	pipe1	exposure	boolean	
pipage1	pht001116.v10, pht001111.v4	Pipe: age started smoking	pipage1	exposure	number	
pipcur1	pht001116.v10, pht001111.v4	Pipe: smoked in last 30 days	pipcur1	exposure	boolean	
